CircFlow,FRate,FDensity,SMSpeed,BDepth,BSize,MVis,FPress,DPPress,CPress,FIn,FOut,MRFlow,ActiveGL,ATVolume,RoPen,WoBit,HLoad,WBoPress,BTBR,MPS1,MPS2,MPS3,AMTD,ATMPV,ATMYP,STP,WellDepth
0.9632659,-0.9808356,78.54707,-0.005638252,12641.48,12.25,10.00045,6157.131,1718.1,0,0.9531463,0.9808356,-0.02768925,-0.05746073,199.0253,20.29771,39659.93,310903.1,6957.008,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9632189,-0.980419,78.54707,-0.005637207,12641.48,12.25,10.00045,6157.131,1717.921,0,0.9531454,0.980419,-0.02727355,-0.0571615,199.0256,20.29394,39668.27,310895.4,6956.979,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9631946,-0.980215,78.54707,-0.005636693,12641.48,12.25,10.00045,6157.131,1717.832,0,0.953145,0.980215,-0.02706999,-0.05701356,199.0258,20.2921,39672.45,310891.5,6956.964,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9631449,-0.9798146,78.54707,-0.005635678,12641.48,12.25,10.00045,6157.131,1717.655,0,0.953144,0.9798146,-0.02667056,-0.05672098,199.0261,20.28844,39680.79,310883.7,6956.937,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9631195,-0.979618,78.54707,-0.005635174,12641.48,12.25,10.00045,6157.131,1717.567,0,0.9531435,0.979618,-0.02647445,-0.05657632,199.0262,20.28663,39684.96,310879.8,6956.923,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9630679,-0.9792315,78.54707,-0.005634171,12641.48,12.25,10.00045,6157.131,1717.391,0,0.9531425,0.9792315,-0.02608897,-0.05629017,199.0265,20.28302,39693.3,310872,6956.896,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9630154,-0.9788535,78.54707,-0.005633172,12641.48,12.25,10.00045,6157.131,1717.215,0,0.9531415,0.9788535,-0.02571197,-0.05600818,199.0268,20.27942,39701.63,310864.2,6956.87,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9629622,-0.9784834,78.54707,-0.005632175,12641.48,12.25,10.00045,6157.131,1717.041,0,0.9531405,0.9784834,-0.02534295,-0.05573025,199.0271,20.27583,39709.96,310856.4,6956.844,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9629084,-0.9781209,78.54707,-0.00563118,12641.48,12.25,10.00045,6157.131,1716.868,0,0.9531394,0.9781209,-0.02498148,-0.05545631,199.0273,20.27225,39718.29,310848.6,6956.818,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9628544,-0.9777656,78.54707,-0.005630185,12641.48,12.25,10.00045,6157.131,1716.695,0,0.9531384,0.9777656,-0.0246272,-0.05518626,199.0276,20.26867,39726.61,310840.7,6956.794,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
